Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 98.11558094406871 -6885007.950836182 -3660820.160697937 1279913.4742660522 4144.812115644218 2133.723225120477 -5247.924392633399 69507472.73501325 845.1155809440687 -201162545821.34943 96561127810.96735 4803622376.252406 -19465.803303517452 -12101.531248811454 2218.892212475266
0.0 99.06898964886341 -15034627.659683228 -1676940.2303581238 -7160738.343548775 5980.61879848746 3774.8304306410173 -9217.690636206431 68550066.47252145 846.0689896488634 -295341657129.36237 -9222041784.699875 2236742987.6138086 -5872.164770580166 -32517.368237443086 4093.6625287846823
0.0 44.15097295951125 -133703755.31639099 -296336761.26416016 -5184903.82120204 5942.311548724658 1255.5754384337743 -909.7754092594578 24056187.205368437 791.1509729595113 174123800532.24475 -137612823462.51517 -4982193282.307477 36965.392672959984 18894.991362236087 73.90339327106688
0.0 139.99060363615615 2929843.3188323975 901712.660736084 -1340046.0231804848 -2326.128415866093 3693.0133545438466 936.890213621552 74538235.4173921 886.9906036361562 276417989894.51184 -213196843284.2831 -6540409442.455044 32335.694281469972 44222.606459355055 -116.88073004221411
0.0 87.32450026883816 -93654968195.92557 92499571047.308 4822726651.704286 -12235.96149676362 -681.5594198164144 -416.23331468482365 55367761.2832626 834.3245002688382 31842679676.737244 -67306637797.902145 -6573479736.267809 5120.691877536429 -6348.028349993605 222.33673156365924
0.0 102.4598990022829 -1147683.4723510742 -1139744.9378414154 1576886.4324474335 3917.141961644936 -2219.5989270885984 -779.6161372787684 66101549.79406542 849.4598990022829 -32098511291.112602 87882398283.16797 6483474613.323087 8432.229207317476 -2733.403554531922 -118.23218938247595
0.0 80.28945716160888 2852775.4364318848 1185600.319442749 783739.3542859554 7828.729572299399 -938.5574568882439 6365.466504792338 61400935.351706214 827.2894571616089 -178836874427.5496 319613398165.6981 7981599279.05562 -37691.26310117726 -15577.9747040001 -4316.912844279518
0.0 86.03293768533831 457546.2604370117 367827.9183807373 822037.9731078148 670.7271277387276 3496.145220572598 -2602.4296126509034 48625074.47767703 833.0329376853383 -113426089611.65494 -70540731897.79955 5926515916.828487 13293.94868608611 7018.172397310846 2552.849947360227
0.0 176.04336230681133 -2609453.2205810547 -2321426.4072265625 4997362.54358542 -2986.755952070347 -5617.334144854805 714.7299969224051 75652020.0302988 923.0433623068113 44244329090.93347 362051675166.8508 2564760255.6313744 -53622.96991470001 -2823.9742664681817 -454.39906326825314
0.0 139.99710801985532 -216231.15411376953 -217763.37954711914 24122.39696609974 -16544.667943087035 -6306.119312779039 -805.6139819389493 70854593.32527484 886.9971080198553 33113150377.98043 -359392682544.9133 -5277440380.228572 46634.71286863188 3359.880851594594 -481.50047850039886
